dataset,method,tuning_seed,candidate_id,hidden_dim,latent_dim,num_layers,dropout,learning_rate,batch_size,best_validation_loss,best_epoch,epochs_completed,early_stopped,training_seconds,elapsed_seconds
GeoLife,LSTM-AE,42,7,128,32,1,0.1,0.001,128,0.010622880421578884,64,72,True,8.867198846768588,8.90134659409523
GeoLife,LSTM-AE,42,3,64,16,1,0.1,0.001,128,0.011748060584068298,79,80,False,12.167213651817292,12.191737568937242
GeoLife,LSTM-AE,42,8,128,32,2,0.1,0.0003,128,0.013315996155142784,80,80,False,11.501434761099517,11.544191799126565
GeoLife,LSTM-AE,42,9,32,32,2,0.0,0.001,128,0.015801696106791496,80,80,False,12.22526664333418,12.247626087628305
GeoLife,LSTM-AE,42,5,64,32,2,0.1,0.001,128,0.018721990287303925,63,71,True,10.68895037425682,10.715082820970565
GeoLife,LSTM-AE,42,11,128,16,1,0.0,0.0003,128,0.018766891211271286,80,80,False,10.557826335076243,10.590035693254322
GeoLife,LSTM-AE,42,12,128,32,2,0.1,0.001,128,0.019591430202126503,37,45,True,6.579482058994472,6.621899268124253
GeoLife,LSTM-AE,42,10,64,16,2,0.0,0.0003,128,0.023937836289405823,78,80,False,12.06660899007693,12.099102465435863
GeoLife,LSTM-AE,42,4,64,32,1,0.1,0.0003,128,0.024747351184487343,80,80,False,10.446556262206286,10.473359511233866
GeoLife,LSTM-AE,42,1,32,16,1,0.0,0.001,128,0.024804703891277313,78,80,False,11.32123691122979,12.943928314838558
GeoLife,LSTM-AE,42,6,64,32,2,0.1,0.0003,128,0.0254239272326231,80,80,False,12.229928724002093,12.256328386254609
GeoLife,LSTM-AE,42,2,32,16,1,0.0,0.0003,128,0.0414586141705513,80,80,False,11.74909781711176,11.772005199920386
