dataset,method,tuning_seed,candidate_id,hidden_dim,latent_dim,num_layers,dropout,learning_rate,batch_size,best_validation_loss,best_epoch,epochs_completed,early_stopped,training_seconds,elapsed_seconds
GeoLife,USAD,42,10,128,32,,,0.001,128,0.029248731210827827,80,80,False,18.104827736970037,18.11582437576726
GeoLife,USAD,42,9,128,32,,,0.0003,128,0.07429521530866623,80,80,False,17.877564827911556,17.88712359732017
GeoLife,USAD,42,6,64,16,,,0.001,128,0.09189888834953308,80,80,False,16.517510206904262,16.52537241904065
GeoLife,USAD,42,11,32,32,,,0.001,128,0.10673661530017853,80,80,False,17.162167369853705,17.171413379255682
GeoLife,USAD,42,8,128,16,,,0.0003,128,0.1412440538406372,80,80,False,17.53653523698449,17.547389490995556
GeoLife,USAD,42,7,64,32,,,0.0003,128,0.1533440202474594,80,80,False,17.197609710972756,17.206141185946763
GeoLife,USAD,42,3,32,16,,,0.001,128,0.15582944452762604,80,80,False,17.331942264921963,17.342471283860505
GeoLife,USAD,42,4,64,8,,,0.001,128,0.23315608501434326,80,80,False,16.571251997724175,16.581176056992263
GeoLife,USAD,42,5,64,16,,,0.0003,128,0.23809997737407684,80,80,False,17.680718596093357,17.689062510617077
GeoLife,USAD,42,1,32,8,,,0.001,128,0.2870539426803589,80,80,False,18.329357214737684,19.902887721080333
GeoLife,USAD,42,12,64,8,,,0.0003,128,0.33706316351890564,80,80,False,17.08388195000589,17.091003285720944
GeoLife,USAD,42,2,32,8,,,0.0003,128,0.4062695801258087,80,80,False,15.818532496225089,15.829765400849283
