dataset,method,tuning_seed,candidate_id,hidden_dim,latent_dim,num_layers,dropout,learning_rate,batch_size,best_validation_loss,best_epoch,epochs_completed,early_stopped,training_seconds,elapsed_seconds
Grid-Network,LSTM-AE,42,7,128,32,1,0.1,0.001,128,0.002405745442956686,46,54,True,11.746074130292982,11.800018051173538
Grid-Network,LSTM-AE,42,3,64,16,1,0.1,0.001,128,0.002737759379670024,77,80,False,18.907775204628706,18.947644575033337
Grid-Network,LSTM-AE,42,5,64,32,2,0.1,0.001,128,0.0029049492441117764,75,80,False,19.904600979294628,19.952613839879632
Grid-Network,LSTM-AE,42,8,128,32,2,0.1,0.0003,128,0.003295355709269643,75,80,False,20.66792659414932,20.735418311785907
Grid-Network,LSTM-AE,42,11,128,16,1,0.0,0.0003,128,0.003388218581676483,67,75,True,15.428077775985003,15.478532348759472
Grid-Network,LSTM-AE,42,12,128,32,2,0.1,0.001,128,0.003942130599170923,32,40,True,9.412388507742435,9.477950435131788
Grid-Network,LSTM-AE,42,10,64,16,2,0.0,0.0003,128,0.004406389780342579,79,80,False,20.188086837064475,20.227186819072813
Grid-Network,LSTM-AE,42,9,32,32,2,0.0,0.001,128,0.007742374204099178,77,80,False,20.337782665155828,20.37498325528577
Grid-Network,LSTM-AE,42,6,64,32,2,0.1,0.0003,128,0.010672866366803646,79,80,False,19.997596426401287,20.04418404493481
Grid-Network,LSTM-AE,42,1,32,16,1,0.0,0.001,128,0.010832920670509338,78,80,False,20.164366183802485,21.793069381266832
Grid-Network,LSTM-AE,42,4,64,32,1,0.1,0.0003,128,0.01962783746421337,44,52,True,12.95333198690787,12.993985697161406
Grid-Network,LSTM-AE,42,2,32,16,1,0.0,0.0003,128,0.03453383594751358,80,80,False,19.592319848015904,19.62733359215781
