dataset,method,tuning_seed,candidate_id,hidden_dim,latent_dim,num_layers,dropout,learning_rate,batch_size,best_validation_loss,best_epoch,epochs_completed,early_stopped,training_seconds,elapsed_seconds
Grid-Network,USAD,42,10,128,32,,,0.001,128,0.00807262398302555,80,80,False,29.148973751813173,29.158108097035438
Grid-Network,USAD,42,9,128,32,,,0.0003,128,0.030075235292315483,80,80,False,27.774016852956265,27.783656066283584
Grid-Network,USAD,42,6,64,16,,,0.001,128,0.038998283445835114,80,80,False,25.988251921720803,25.99888123292476
Grid-Network,USAD,42,8,128,16,,,0.0003,128,0.04798777401447296,80,80,False,28.18347225524485,28.195397831033915
Grid-Network,USAD,42,11,32,32,,,0.001,128,0.05097595974802971,80,80,False,28.146352803800255,28.15762036992237
Grid-Network,USAD,42,7,64,32,,,0.0003,128,0.05458280071616173,80,80,False,29.49498612433672,29.504551101010293
Grid-Network,USAD,42,3,32,16,,,0.001,128,0.06635305285453796,80,80,False,28.265560825821012,28.277282057795674
Grid-Network,USAD,42,5,64,16,,,0.0003,128,0.08048246055841446,80,80,False,25.847549308091402,25.85589827084914
Grid-Network,USAD,42,4,64,8,,,0.001,128,0.08615879714488983,80,80,False,27.03978799423203,27.050703418906778
Grid-Network,USAD,42,1,32,8,,,0.001,128,0.13670048117637634,80,80,False,29.408160235267133,30.93809428019449
Grid-Network,USAD,42,12,64,8,,,0.0003,128,0.16039584577083588,80,80,False,27.987275710795075,27.99953559692949
Grid-Network,USAD,42,2,32,8,,,0.0003,128,0.22704054415225983,80,80,False,27.107867485377938,27.120636971201748
