dataset,method,tuning_seed,candidate_id,hidden_dim,latent_dim,num_layers,dropout,learning_rate,batch_size,best_validation_loss,best_epoch,epochs_completed,early_stopped,training_seconds,elapsed_seconds
Porto-derived,LSTM-AE,42,3,64,16,1,0.1,0.001,128,0.003654656233265996,54,62,True,14.570233175996691,14.609328095335513
Porto-derived,LSTM-AE,42,7,128,32,1,0.1,0.001,128,0.003674849634990096,36,44,True,10.175089845899493,10.232132971286774
Porto-derived,LSTM-AE,42,8,128,32,2,0.1,0.0003,128,0.004036630969494581,72,80,False,20.485649193637073,20.55035102320835
Porto-derived,LSTM-AE,42,11,128,16,1,0.0,0.0003,128,0.00449903542175889,56,64,True,14.627579228021204,14.678184397052974
Porto-derived,LSTM-AE,42,1,32,16,1,0.0,0.001,128,0.004714279901236296,54,62,True,14.674926450010389,16.34293722268194
Porto-derived,LSTM-AE,42,4,64,32,1,0.1,0.0003,128,0.0050565567798912525,77,80,False,17.088193484582007,17.137783714104444
Porto-derived,LSTM-AE,42,9,32,32,2,0.0,0.001,128,0.005376037210226059,77,80,False,20.37686168216169,20.415217493195087
Porto-derived,LSTM-AE,42,5,64,32,2,0.1,0.001,128,0.005617079325020313,57,65,True,14.789210309740156,14.827919288072735
Porto-derived,LSTM-AE,42,10,64,16,2,0.0,0.0003,128,0.006218508817255497,80,80,False,19.219605611637235,19.259176844265312
Porto-derived,LSTM-AE,42,12,128,32,2,0.1,0.001,128,0.006781327072530985,34,42,True,11.454445996321738,11.529295301064849
Porto-derived,LSTM-AE,42,6,64,32,2,0.1,0.0003,128,0.008119338192045689,80,80,False,19.35669836588204,19.396568403113633
Porto-derived,LSTM-AE,42,2,32,16,1,0.0,0.0003,128,0.00898721907287836,76,80,False,19.355353363323957,19.390830469783396
