dataset,method,tuning_seed,candidate_id,hidden_dim,latent_dim,num_layers,dropout,learning_rate,batch_size,best_validation_loss,best_epoch,epochs_completed,early_stopped,training_seconds,elapsed_seconds
Porto-derived,USAD,42,10,128,32,,,0.001,128,0.010839530266821384,80,80,False,27.277712603099644,27.292317242827266
Porto-derived,USAD,42,9,128,32,,,0.0003,128,0.028618039563298225,80,80,False,27.574704901780933,27.58843269897625
Porto-derived,USAD,42,6,64,16,,,0.001,128,0.0386146679520607,80,80,False,28.432965766172856,28.443526678718626
Porto-derived,USAD,42,8,128,16,,,0.0003,128,0.04591227322816849,80,80,False,27.098402250092477,27.11299877986312
Porto-derived,USAD,42,11,32,32,,,0.001,128,0.049068838357925415,80,80,False,27.55530136777088,27.564851323142648
Porto-derived,USAD,42,7,64,32,,,0.0003,128,0.05607390031218529,80,80,False,29.06031022174284,29.072843758855015
Porto-derived,USAD,42,3,32,16,,,0.001,128,0.06775664538145065,80,80,False,27.863246564753354,27.874571592081338
Porto-derived,USAD,42,4,64,8,,,0.001,128,0.07336956262588501,80,80,False,28.01343281613663,28.02476384723559
Porto-derived,USAD,42,5,64,16,,,0.0003,128,0.08372116833925247,80,80,False,30.418102107942104,30.42966759810224
Porto-derived,USAD,42,1,32,8,,,0.001,128,0.134173184633255,80,80,False,29.665032619144768,31.13575507281348
Porto-derived,USAD,42,12,64,8,,,0.0003,128,0.14447201788425446,80,80,False,27.404323077760637,27.414524466730654
Porto-derived,USAD,42,2,32,8,,,0.0003,128,0.2371201515197754,80,80,False,29.56151748681441,29.575227013789117
