dataset,method,tuning_seed,candidate_id,hidden_dim,latent_dim,num_layers,dropout,learning_rate,batch_size,best_validation_loss,best_epoch,epochs_completed,early_stopped,training_seconds,elapsed_seconds
Synthetic,LSTM-AE,42,10,64,16,2,0.0,0.0003,128,0.016220275312662125,72,80,False,20.58086137380451,20.632496181875467
Synthetic,LSTM-AE,42,3,64,16,1,0.1,0.001,128,0.01661020889878273,59,67,True,15.390733832959086,15.426240731962025
Synthetic,LSTM-AE,42,12,128,32,2,0.1,0.001,128,0.016814155504107475,44,52,True,13.510818913113326,13.577172027435154
Synthetic,LSTM-AE,42,7,128,32,1,0.1,0.001,128,0.016959644854068756,30,38,True,9.006676212884486,9.060519617050886
Synthetic,LSTM-AE,42,9,32,32,2,0.0,0.001,128,0.016974467784166336,69,77,True,19.96760573517531,19.999942008871585
Synthetic,LSTM-AE,42,8,128,32,2,0.1,0.0003,128,0.017257269471883774,41,49,True,13.078122330829501,13.145946795120835
Synthetic,LSTM-AE,42,4,64,32,1,0.1,0.0003,128,0.017444347962737083,79,80,False,18.687358726747334,18.721983468160033
Synthetic,LSTM-AE,42,11,128,16,1,0.0,0.0003,128,0.019292112439870834,28,36,True,8.24683348974213,8.297235993202776
Synthetic,LSTM-AE,42,6,64,32,2,0.1,0.0003,128,0.019624605774879456,47,55,True,14.434188026934862,14.47322866693139
Synthetic,LSTM-AE,42,2,32,16,1,0.0,0.0003,128,0.021757394075393677,76,80,False,18.58973966166377,18.632609877735376
Synthetic,LSTM-AE,42,1,32,16,1,0.0,0.001,128,0.022334037348628044,48,56,True,13.432530083227903,15.072262198198587
Synthetic,LSTM-AE,42,5,64,32,2,0.1,0.001,128,0.02567589282989502,20,28,True,7.2934589041396976,7.332318996544927
