dataset,method,tuning_seed,candidate_id,hidden_dim,latent_dim,num_layers,dropout,learning_rate,batch_size,best_validation_loss,best_epoch,epochs_completed,early_stopped,training_seconds,elapsed_seconds
Synthetic,USAD,42,10,128,32,,,0.001,128,0.021656326949596405,80,80,False,27.29906533891335,27.307454984169453
Synthetic,USAD,42,9,128,32,,,0.0003,128,0.04695352911949158,80,80,False,28.72118319896981,28.73031764710322
Synthetic,USAD,42,7,64,32,,,0.0003,128,0.09884089976549149,80,80,False,28.991877861320972,29.00092484196648
Synthetic,USAD,42,11,32,32,,,0.001,128,0.116960309445858,80,80,False,28.485559415072203,28.49397655716166
Synthetic,USAD,42,6,64,16,,,0.001,128,0.18520131707191467,80,80,False,27.911063759122044,27.920680759008974
Synthetic,USAD,42,8,128,16,,,0.0003,128,0.206598699092865,80,80,False,29.563379352912307,29.575997962150723
Synthetic,USAD,42,3,32,16,,,0.001,128,0.20823845267295837,80,80,False,28.751213185023516,28.762126917019486
Synthetic,USAD,42,5,64,16,,,0.0003,128,0.22869285941123962,80,80,False,28.118619904387742,28.128611044958234
Synthetic,USAD,42,4,64,8,,,0.001,128,0.37646013498306274,79,80,False,27.978142558131367,27.98988324869424
Synthetic,USAD,42,1,32,8,,,0.001,128,0.4054564833641052,79,80,False,30.741182433906943,32.432193112093955
Synthetic,USAD,42,12,64,8,,,0.0003,128,0.4268137514591217,79,80,False,26.350344684906304,26.3588382541202
Synthetic,USAD,42,2,32,8,,,0.0003,128,0.4550914168357849,80,80,False,28.940080595202744,28.953946908004582
