Dataset,Contamination,AUC_mean,AUC_std,AUPRC_mean,AUPRC_std,F1_mean,F1_std,Runtime_mean,Runtime_std,Seeds
GeoLife,5%,0.8279534188034188,0.012341015948019224,0.4160250883507432,0.04243015075402237,0.43589743589743585,0.02145282119318142,1.2073235599964391,0.4389773372133712,5
GeoLife,10%,0.8260064257028112,0.02151967860430974,0.5107789236987266,0.0697293991401606,0.48253012048192767,0.061120091244871264,1.307585619998281,0.6266828422390023,5
GeoLife,15%,0.8034215909090909,0.047505067719840983,0.5426121487538397,0.07086420042265383,0.4973484848484849,0.06317473254360419,1.933580359996995,0.4905700277399811,5
GeoLife,20%,0.8175013368983958,0.028872868645023104,0.6062157219908889,0.058743450403863084,0.544385026737968,0.04688226480064961,1.5517715399997543,0.5132411621453059,5
Porto,5%,0.953341076923077,0.01736666280396855,0.693154918428995,0.0608261340452506,0.6284615384615385,0.05560852175977789,2.181280880002305,1.0057996637045603,5
Porto,10%,0.9679013043478261,0.006744088275264998,0.8183868221600719,0.04477153591487778,0.7376811594202899,0.049379153264790386,3.366216340000392,1.0727604471019818,5
Porto,15%,0.9568484545454545,0.010790091929693707,0.8313962926467628,0.0166623597093276,0.7597727272727274,0.036580320319958164,3.0346438800013855,1.3479150747519046,5
Porto,20%,0.9389205769230771,0.027461760661464264,0.8374717476898283,0.037550809672262264,0.7623397435897437,0.061592691116300974,1.974158480000915,0.9121702241785117,5
Synthetic,5%,0.8815419230769231,0.025265053745037735,0.5809201336534298,0.11145564865372092,0.6015384615384616,0.10316299506264763,3.0096347500017147,1.1437927297215364,10
Synthetic,10%,0.8729896739130435,0.027080625754460512,0.630444894112989,0.07819786878560647,0.6197463768115943,0.07391859349722692,2.7704083799995716,0.8704205000215859,10
Synthetic,15%,0.8430748863636364,0.02213590822595995,0.617527336935199,0.04821569992019588,0.5922727272727274,0.04764820290073302,2.682630949995655,0.932276245102062,10
Synthetic,20%,0.8422429807692307,0.01904780588702963,0.6592100079060165,0.034954740182763816,0.6232371794871795,0.03401024652713196,2.9736151900011465,0.7060343778784846,10
Grid,5%,0.9234538461538462,0.007304615603330931,0.6716978452148241,0.019494507856959286,0.5915384615384613,0.025326273281775887,2.914102690000436,1.1224463307229702,10
Grid,10%,0.9218546376811594,0.014802530838826364,0.7522397342542949,0.026710550218004468,0.6731884057971014,0.027067424196550373,3.3590712999997776,1.3060227880599742,10
Grid,15%,0.9220317272727273,0.00968384062273911,0.8044424477491765,0.01668085876257392,0.7272727272727273,0.02613636363636362,2.985342009998567,1.4479499312005075,10
Grid,20%,0.9333174519230768,0.006742665408802233,0.8536310442004063,0.011192159526161196,0.7786057692307693,0.019774140999919084,2.2842062699986854,1.102590460106536,10
