"dataset","seed","n_normal","n_anomaly","n_total","nominal_contamination","realized_contamination","anomaly_types","trajectory_shape","canonical_feature_shape","source_function","context_seed","cache_relative_path","cache_sha256","labels_used_for_feature_construction","cache_included_in_public_release"
"Synthetic","42","5000","552","5552","0.1","0.0994236311239193","detour;loop;speed;route_deviation","5552x32x2","5552x34","src/data_generator.py::generate_synthetic_trajectories",,"results/phase4/dataset_cache/synthetic/seed_42.npz","d8c9d6f73e8c1f96c0f415eb10df9ddd81580ac355fcfc938d5129ce10f055f2","False","False"
"Synthetic","123","5000","552","5552","0.1","0.0994236311239193","detour;loop;speed;route_deviation","5552x32x2","5552x34","src/data_generator.py::generate_synthetic_trajectories",,"results/phase4/dataset_cache/synthetic/seed_123.npz","70f91bb980b24f6fa3d5546b3b73c18bcff38a9ce3b91fdf36e254d5c89ef728","False","False"
"Synthetic","456","5000","552","5552","0.1","0.0994236311239193","detour;loop;speed;route_deviation","5552x32x2","5552x34","src/data_generator.py::generate_synthetic_trajectories",,"results/phase4/dataset_cache/synthetic/seed_456.npz","a8c3349e5cd920f4df075a1a3c3692ca6d6ae3dbd7467bd53c519eb15a70f399","False","False"
"Synthetic","789","5000","552","5552","0.1","0.0994236311239193","detour;loop;speed;route_deviation","5552x32x2","5552x34","src/data_generator.py::generate_synthetic_trajectories",,"results/phase4/dataset_cache/synthetic/seed_789.npz","0bfb3f8ea357f81925ebe21804709feda2f639453e99956c9882870a0d019dbe","False","False"
"Synthetic","1024","5000","552","5552","0.1","0.0994236311239193","detour;loop;speed;route_deviation","5552x32x2","5552x34","src/data_generator.py::generate_synthetic_trajectories",,"results/phase4/dataset_cache/synthetic/seed_1024.npz","07cad2afb89d7a0f794847037eb3ff283d0973fe65aa5fdd0728f328e97e3119","False","False"
"Synthetic","2048","5000","552","5552","0.1","0.0994236311239193","detour;loop;speed;route_deviation","5552x32x2","5552x34","src/data_generator.py::generate_synthetic_trajectories",,"results/phase4/dataset_cache/synthetic/seed_2048.npz","4b1c9fcd152d8177156560c04ed501d6864245f45d10d410356e06774023c825","False","False"
"Synthetic","3072","5000","552","5552","0.1","0.0994236311239193","detour;loop;speed;route_deviation","5552x32x2","5552x34","src/data_generator.py::generate_synthetic_trajectories",,"results/phase4/dataset_cache/synthetic/seed_3072.npz","4d9d301b87022197b783dc18a401f4edd7acdc5289d695a89704486726f5169c","False","False"
"Synthetic","4096","5000","552","5552","0.1","0.0994236311239193","detour;loop;speed;route_deviation","5552x32x2","5552x34","src/data_generator.py::generate_synthetic_trajectories",,"results/phase4/dataset_cache/synthetic/seed_4096.npz","226a527a9454f6451b5f7788274553fd603bf46e71fb7cf391b4bd4415b15547","False","False"
"Synthetic","5120","5000","552","5552","0.1","0.0994236311239193","detour;loop;speed;route_deviation","5552x32x2","5552x34","src/data_generator.py::generate_synthetic_trajectories",,"results/phase4/dataset_cache/synthetic/seed_5120.npz","7afe4451fe1a05d2898006e5cec9fa17a802baa44fd023e1be24d61b05913119","False","False"
"Synthetic","6144","5000","552","5552","0.1","0.0994236311239193","detour;loop;speed;route_deviation","5552x32x2","5552x34","src/data_generator.py::generate_synthetic_trajectories",,"results/phase4/dataset_cache/synthetic/seed_6144.npz","1ff05645d1f232f96b7534c957f126c4b40d967892f55afcfafc3929e6c3f2d0","False","False"
"Grid-Network","42","5000","552","5552","0.1","0.0994236311239193","detour;loop;speed;route_deviation","5552x32x2","5552x34","src/data_generator_real.py::generate_grid_network_trajectories",,"results/phase4/dataset_cache/grid_network/seed_42.npz","f185cbb826278886f2b24a9ee12049f6129332f9c36fabc569a932613bd1bbe7","False","False"
"Grid-Network","123","5000","552","5552","0.1","0.0994236311239193","detour;loop;speed;route_deviation","5552x32x2","5552x34","src/data_generator_real.py::generate_grid_network_trajectories",,"results/phase4/dataset_cache/grid_network/seed_123.npz","78184264d449fb477a7bf234c0f01ea7c4aa772421e98186256fa47882d89d09","False","False"
"Grid-Network","456","5000","552","5552","0.1","0.0994236311239193","detour;loop;speed;route_deviation","5552x32x2","5552x34","src/data_generator_real.py::generate_grid_network_trajectories",,"results/phase4/dataset_cache/grid_network/seed_456.npz","93b7a617228faf192ce9ab3d45f36e437b8bdf08f7cf0ef2f401db21b81426e6","False","False"
"Grid-Network","789","5000","552","5552","0.1","0.0994236311239193","detour;loop;speed;route_deviation","5552x32x2","5552x34","src/data_generator_real.py::generate_grid_network_trajectories",,"results/phase4/dataset_cache/grid_network/seed_789.npz","85bd0adc212018b1c9238b4999e9d20f0e64682e4fed1d4e4e4b8e511e3dec2a","False","False"
"Grid-Network","1024","5000","552","5552","0.1","0.0994236311239193","detour;loop;speed;route_deviation","5552x32x2","5552x34","src/data_generator_real.py::generate_grid_network_trajectories",,"results/phase4/dataset_cache/grid_network/seed_1024.npz","9e0a1c445f00e5fb542dc6c61d2b5ba327c48f308c6c6a8c0d294ab84d08a159","False","False"
"Grid-Network","2048","5000","552","5552","0.1","0.0994236311239193","detour;loop;speed;route_deviation","5552x32x2","5552x34","src/data_generator_real.py::generate_grid_network_trajectories",,"results/phase4/dataset_cache/grid_network/seed_2048.npz","e7d2f22b00b6022f3427cbd62ded5ad0012a003276b83fc64aa0b7f82eb90462","False","False"
"Grid-Network","3072","5000","552","5552","0.1","0.0994236311239193","detour;loop;speed;route_deviation","5552x32x2","5552x34","src/data_generator_real.py::generate_grid_network_trajectories",,"results/phase4/dataset_cache/grid_network/seed_3072.npz","f6fe6fbace2c996e08dfddb3bf7224ed50c9f6068c096ffad22e24c75ae06ae4","False","False"
"Grid-Network","4096","5000","552","5552","0.1","0.0994236311239193","detour;loop;speed;route_deviation","5552x32x2","5552x34","src/data_generator_real.py::generate_grid_network_trajectories",,"results/phase4/dataset_cache/grid_network/seed_4096.npz","65482cfbb8028577212024727e5a30372332a0394258a0fec172b44668b31f37","False","False"
"Grid-Network","5120","5000","552","5552","0.1","0.0994236311239193","detour;loop;speed;route_deviation","5552x32x2","5552x34","src/data_generator_real.py::generate_grid_network_trajectories",,"results/phase4/dataset_cache/grid_network/seed_5120.npz","e9aec8882ce54518fbc0c1f3e10ea6a550a7b1991f5499e208fc84cd560cdacd","False","False"
"Grid-Network","6144","5000","552","5552","0.1","0.0994236311239193","detour;loop;speed;route_deviation","5552x32x2","5552x34","src/data_generator_real.py::generate_grid_network_trajectories",,"results/phase4/dataset_cache/grid_network/seed_6144.npz","8caa45f88359f2e2200b3ba7396ca5c74d8c2a60f7bd18cb9093ed04829ef1f1","False","False"
"Porto-derived","42","5000","552","5552","0.1","0.0994236311239193","detour;loop;speed;route_deviation","5552x32x2","5552x34","src/porto_data.py::inject_anomalies_porto","42","results/phase4/dataset_cache/porto_derived/seed_42.npz","5801bd5efe0fe8498958f68bcc2b7043f38386e0453014f6eff9714c5c1c781b","False","False"
