dataset,seed,variant,tau,fusion_bins,AUC,AUPRC,F1,Precision,Recall,spatial_balls,kinematic_balls,shape_balls,spatial_view_weight,kinematic_view_weight,shape_view_weight,labels_consumed_during_fit
GeoLife,42,bins10,0.85,10,0.809582329317269,0.444175117262006,0.42168674698795183,0.42168674698795183,0.42168674698795183,87,1,7,0.2984662050750098,0.6418632019883243,0.059670592936665906,False
GeoLife,123,bins10,0.85,10,0.8125983935742972,0.4718268660211487,0.4307228915662651,0.4307228915662651,0.4307228915662651,91,96,1,0.3758651378716807,0.4054671321938294,0.21866772993448996,False
GeoLife,456,bins10,0.85,10,0.7825672690763051,0.3605326873477763,0.3463855421686747,0.3463855421686747,0.3463855421686747,1,99,4,0.45355115262091844,0.5061395736932288,0.0403092736858527,False
GeoLife,789,bins10,0.85,10,0.8317961847389559,0.513455222264378,0.4879518072289157,0.4879518072289157,0.4879518072289157,109,1,59,0.4558978636955495,0.48778829038657995,0.05631384591787056,False
GeoLife,1024,bins10,0.85,10,0.840402610441767,0.5078449499696328,0.49698795180722893,0.49698795180722893,0.49698795180722893,65,106,12,0.29105608779856096,0.6372033633299529,0.07174054887148615,False
Grid-Network,42,bins10,0.85,10,0.9314844202898551,0.7883110059632032,0.717391304347826,0.717391304347826,0.717391304347826,149,134,57,0.34712340076741327,0.6007138734920325,0.0521627257405542,False
Grid-Network,123,bins10,0.85,10,0.8832365942028986,0.6996874625128271,0.6521739130434783,0.6521739130434783,0.6521739130434783,156,171,53,0.36887811257426656,0.5946583020586071,0.03646358536712625,False
Grid-Network,456,bins10,0.85,10,0.9270485507246377,0.7786348080189976,0.7119565217391305,0.7119565217391305,0.7119565217391305,133,159,59,0.39460585779323176,0.5636293551540841,0.04176478705268407,False
Grid-Network,789,bins10,0.85,10,0.9355398550724637,0.741432528572172,0.6485507246376812,0.6485507246376812,0.6485507246376812,165,167,56,0.3679239332673171,0.5951796813122656,0.03689638542041716,False
Grid-Network,1024,bins10,0.85,10,0.9134572463768116,0.7297163838666048,0.6503623188405797,0.6503623188405797,0.6503623188405797,162,175,54,0.38549594500250195,0.5818882841729628,0.032615770824535296,False
Grid-Network,2048,bins10,0.85,10,0.9103550724637681,0.7287685004940941,0.6702898550724637,0.6702898550724637,0.6702898550724637,139,175,45,0.4067253124449914,0.5654646325369407,0.027810055018067863,False
Grid-Network,3072,bins10,0.85,10,0.9107978260869565,0.7455513796939642,0.6503623188405797,0.6503623188405797,0.6503623188405797,149,153,44,0.4122610250700838,0.5548958417389663,0.03284313319094988,False
Grid-Network,4096,bins10,0.85,10,0.9316673913043478,0.7764816012294844,0.7192028985507246,0.7192028985507246,0.7192028985507246,157,168,44,0.4153791375856273,0.5540000546441257,0.03062080777024695,False
Grid-Network,5120,bins10,0.85,10,0.9367554347826088,0.794062735151753,0.6992753623188406,0.6992753623188406,0.6992753623188406,163,167,62,0.3297204584857005,0.6066684172037338,0.06361112431056572,False
Grid-Network,6144,bins10,0.85,10,0.927594927536232,0.7923278763795832,0.6920289855072463,0.6920289855072463,0.6920289855072463,146,91,53,0.22570401748577448,0.7094901395464576,0.06480584296776802,False
Porto-derived,42,bins10,0.85,10,0.9690474637681159,0.8679698611783085,0.7916666666666666,0.7916666666666666,0.7916666666666666,1,154,57,0.30946974160353435,0.5172633243979468,0.1732669339985189,False
Porto-derived,123,bins10,0.85,10,0.9752702898550725,0.8329902025412669,0.7771739130434783,0.7771739130434783,0.7771739130434783,138,176,38,0.3465971286414778,0.5787825582323992,0.07462031312612291,False
Porto-derived,456,bins10,0.85,10,0.9585217391304347,0.8269652117426372,0.7409420289855072,0.7409420289855072,0.7409420289855072,1,159,68,0.09800320373839073,0.5469620416986398,0.35503475456296935,False
Porto-derived,789,bins10,0.85,10,0.9624007246376812,0.7859267764109049,0.6992753623188406,0.6992753623188406,0.6992753623188406,122,180,74,0.3103116884335878,0.5940720233276751,0.09561628823873701,False
Porto-derived,1024,bins10,0.85,10,0.9620119565217391,0.7859417965936744,0.6902173913043478,0.6902173913043478,0.6902173913043478,142,139,17,0.33082934126437197,0.6101053844797024,0.059065274255925615,False
Synthetic,42,bins10,0.85,10,0.8957536231884057,0.6735499963769076,0.7192028985507246,0.7192028985507246,0.7192028985507246,216,197,86,0.0434794492238237,0.7905525441749641,0.16596800660121205,False
Synthetic,123,bins10,0.85,10,0.9017735507246376,0.6986400373055057,0.6847826086956522,0.6847826086956522,0.6847826086956522,225,196,105,0.04680543520367686,0.8066363946312052,0.14655817016511793,False
Synthetic,456,bins10,0.85,10,0.8558471014492754,0.6025602974358868,0.5996376811594203,0.5996376811594203,0.5996376811594203,183,189,71,0.15889341380440805,0.7883724692409133,0.05273411695467868,False
Synthetic,789,bins10,0.85,10,0.8543467391304347,0.6062419275651834,0.5797101449275363,0.5797101449275363,0.5797101449275363,1,194,75,0.48760513651165277,0.48215944262837573,0.03023542085997154,False
