dataset,seed,min_samples,view,n_balls,mean_ball_size,size_strata_available,size_stratum_cosine_mean,weighted_local_l1_from_run_profile
Synthetic,42,4,spatial_path,275,20.189090909090908,3,0.9401642942415208,0.5951623828909299
Synthetic,42,4,kinematic,234,23.726495726495727,3,0.9789551824411006,0.28012658457226974
Synthetic,42,4,trajectory_shape,182,30.505494505494507,3,0.9832574600742708,0.6940380689769708
Synthetic,42,8,spatial_path,216,25.703703703703702,3,0.950537661865031,0.5767932754490522
Synthetic,42,8,kinematic,197,28.18274111675127,3,0.9947064292228528,0.2697373029734466
Synthetic,42,8,trajectory_shape,86,64.55813953488372,3,0.9693184684086219,0.5435769759822837
Synthetic,42,16,spatial_path,145,38.289655172413795,3,0.9852381274132721,0.553998976910318
Synthetic,42,16,kinematic,141,39.3758865248227,3,0.9957510577124218,0.2693742536340241
Synthetic,42,16,trajectory_shape,31,179.09677419354838,3,0.9358952260265343,0.34310782072105356
Synthetic,42,32,spatial_path,87,63.81609195402299,3,0.9225293336362932,0.5202253954782471
Synthetic,42,32,kinematic,80,69.4,3,0.9807327484435339,0.2754723548979916
Synthetic,42,32,trajectory_shape,9,616.8888888888889,3,0.8055234563210382,0.19976101525236328
Synthetic,123,4,spatial_path,299,18.568561872909697,3,0.9506704733473202,0.6174193875171364
Synthetic,123,4,kinematic,229,24.24454148471616,3,0.9840930120902952,0.26894216326556025
Synthetic,123,4,trajectory_shape,180,30.844444444444445,3,0.9523543516355275,0.5629189334584092
Synthetic,123,8,spatial_path,225,24.675555555555555,3,0.9551000421102112,0.5959929178456177
Synthetic,123,8,kinematic,196,28.3265306122449,3,0.995707274616076,0.25767166211401216
Synthetic,123,8,trajectory_shape,105,52.87619047619047,3,0.9842704083511302,0.4718434110144305
Synthetic,123,16,spatial_path,142,39.098591549295776,3,0.9541618490144295,0.5621901299542886
Synthetic,123,16,kinematic,135,41.12592592592593,3,0.9992395615080135,0.261536120701112
Synthetic,123,16,trajectory_shape,49,113.3061224489796,3,0.951805247472489,0.3803815032941827
Synthetic,123,32,spatial_path,85,65.31764705882352,3,0.9693006031952502,0.504218551297197
Synthetic,123,32,kinematic,78,71.17948717948718,3,0.994960322284136,0.2555218081627268
Synthetic,123,32,trajectory_shape,34,163.2941176470588,3,0.9588028083122474,0.3697567021085304
Synthetic,456,4,spatial_path,251,22.1195219123506,3,0.9457326805692786,0.5816388304422496
Synthetic,456,4,kinematic,221,25.122171945701357,3,0.9911298082637655,0.2827016469131246
Synthetic,456,4,trajectory_shape,137,40.52554744525548,3,0.9587712374786679,0.4638703287138286
Synthetic,456,8,spatial_path,183,30.338797814207652,3,0.9647871523894748,0.5573178802477005
Synthetic,456,8,kinematic,189,29.375661375661377,3,0.9975459884962783,0.2756767638963885
Synthetic,456,8,trajectory_shape,71,78.19718309859155,3,0.9589136590484756,0.3694246029028674
Synthetic,456,16,spatial_path,130,42.707692307692305,3,0.948236303076107,0.5350515528306562
Synthetic,456,16,kinematic,130,42.707692307692305,3,0.9989950031402158,0.2711458547032139
Synthetic,456,16,trajectory_shape,24,231.33333333333334,3,0.8727734425864334,0.2923113375839824
Synthetic,456,32,spatial_path,74,75.02702702702703,3,0.9399689277251122,0.5029239885616535
Synthetic,456,32,kinematic,80,69.4,3,0.9973342624541507,0.27721692305781026
Synthetic,456,32,trajectory_shape,19,292.2105263157895,3,0.9101023638360582,0.28198622395754336
Synthetic,789,4,spatial_path,281,19.75800711743772,3,0.9438548884610242,0.5957360969173318
Synthetic,789,4,kinematic,234,23.726495726495727,3,0.9810669590444357,0.2936194678561842
Synthetic,789,4,trajectory_shape,182,30.505494505494507,3,0.9741847868266257,0.5495203485452701
Synthetic,789,8,spatial_path,1,5552.0,1,,6.938893903907228e-18
Synthetic,789,8,kinematic,194,28.61855670103093,3,0.9969584928643457,0.27849377896090766
Synthetic,789,8,trajectory_shape,75,74.02666666666667,3,0.9717841234211889,0.4052078512971305
Synthetic,789,16,spatial_path,1,5552.0,1,,6.938893903907228e-18
Synthetic,789,16,kinematic,146,38.02739726027397,3,0.991650501665447,0.27069287808445586
Synthetic,789,16,trajectory_shape,31,179.09677419354838,3,0.8950194158992201,0.35891020626381376
Synthetic,789,32,spatial_path,1,5552.0,1,,6.938893903907228e-18
Synthetic,789,32,kinematic,75,74.02666666666667,3,0.9984595961946608,0.277370533673097
Synthetic,789,32,trajectory_shape,11,504.72727272727275,2,0.8029404930464205,0.2488501808481904
Synthetic,1024,4,spatial_path,1,5552.0,1,,1.3877787807814457e-17
Synthetic,1024,4,kinematic,211,26.312796208530806,3,0.9880744618722592,0.28286576494329657
Synthetic,1024,4,trajectory_shape,203,27.34975369458128,3,0.9520351058821147,0.5087548757609506
Synthetic,1024,8,spatial_path,1,5552.0,1,,1.3877787807814457e-17
Synthetic,1024,8,kinematic,188,29.53191489361702,3,0.9959476461963802,0.2773454726000184
Synthetic,1024,8,trajectory_shape,86,64.55813953488372,3,0.9720179885937643,0.3693552475076114
Synthetic,1024,16,spatial_path,1,5552.0,1,,1.3877787807814457e-17
Synthetic,1024,16,kinematic,144,38.55555555555556,3,0.9974975446728189,0.2697328987223849
Synthetic,1024,16,trajectory_shape,39,142.35897435897436,3,0.9599257762466337,0.2995965623435498
Synthetic,1024,32,spatial_path,1,5552.0,1,,1.3877787807814457e-17
Synthetic,1024,32,kinematic,74,75.02702702702703,3,0.9981274226406757,0.2625210909502541
Synthetic,1024,32,trajectory_shape,18,308.44444444444446,3,0.937599931815804,0.2722307297917012
Synthetic,2048,4,spatial_path,277,20.04332129963899,3,0.9465888204962957,0.6153507997407432
Synthetic,2048,4,kinematic,223,24.896860986547086,3,0.9784007249315988,0.28855538457550983
Synthetic,2048,4,trajectory_shape,178,31.191011235955056,3,0.9485727527103768,0.6418891924133702
Synthetic,2048,8,spatial_path,222,25.00900900900901,3,0.9441968359656064,0.60117880889666
Synthetic,2048,8,kinematic,194,28.61855670103093,3,0.9971856701121352,0.2831740506604211
Synthetic,2048,8,trajectory_shape,91,61.010989010989015,3,0.9693315871894027,0.5309893446764005
Synthetic,2048,16,spatial_path,148,37.513513513513516,3,0.9308006084214139,0.5661882247868393
Synthetic,2048,16,kinematic,141,39.3758865248227,3,0.9974486234393387,0.26883577853377727
Synthetic,2048,16,trajectory_shape,16,347.0,3,0.8868480162609284,0.27584795188049177
Synthetic,2048,32,spatial_path,82,67.70731707317073,3,0.9312501128964105,0.5236196395339611
Synthetic,2048,32,kinematic,80,69.4,3,0.9970631634230909,0.27823238797864047
Synthetic,2048,32,trajectory_shape,6,925.3333333333334,2,0.7295858758768027,0.14084329413970537
Synthetic,3072,4,spatial_path,268,20.71641791044776,3,0.9313936160856873,0.595242671292192
Synthetic,3072,4,kinematic,225,24.675555555555555,3,0.9884363311510036,0.27861725885329935
Synthetic,3072,4,trajectory_shape,163,34.061349693251536,3,0.9681389109383112,0.5100880462771106
Synthetic,3072,8,spatial_path,1,5552.0,1,,6.245004513516506e-17
Synthetic,3072,8,kinematic,196,28.3265306122449,3,0.997830325062822,0.26893049669382435
Synthetic,3072,8,trajectory_shape,85,65.31764705882352,3,0.9590047859223567,0.43877788806569895
Synthetic,3072,16,spatial_path,1,5552.0,1,,6.245004513516506e-17
Synthetic,3072,16,kinematic,133,41.744360902255636,3,0.998179352131141,0.26937742574789564
Synthetic,3072,16,trajectory_shape,35,158.62857142857143,3,0.8870264036511748,0.3557253435355611
Synthetic,3072,32,spatial_path,1,5552.0,1,,6.245004513516506e-17
Synthetic,3072,32,kinematic,79,70.27848101265823,3,0.9908913064780439,0.26177132802788555
Synthetic,3072,32,trajectory_shape,17,326.5882352941176,3,0.8931953489052294,0.2615306052120851
Synthetic,4096,4,spatial_path,1,5552.0,1,,1.3877787807814457e-17
Synthetic,4096,4,kinematic,224,24.785714285714285,3,0.989647970190695,0.2863317480363197
Synthetic,4096,4,trajectory_shape,202,27.485148514851485,3,0.9808440424521204,0.6639540210366628
Synthetic,4096,8,spatial_path,1,5552.0,1,,1.3877787807814457e-17
Synthetic,4096,8,kinematic,194,28.61855670103093,3,0.9968683302693314,0.2759925866988143
Synthetic,4096,8,trajectory_shape,98,56.6530612244898,3,0.9735708550410385,0.5603852057086064
Synthetic,4096,16,spatial_path,1,5552.0,1,,1.3877787807814457e-17
Synthetic,4096,16,kinematic,143,38.82517482517483,3,0.9989720078348308,0.2640840770160383
Synthetic,4096,16,trajectory_shape,34,163.2941176470588,3,0.9248447368488394,0.3642434249069299
Synthetic,4096,32,spatial_path,1,5552.0,1,,1.3877787807814457e-17
Synthetic,4096,32,kinematic,73,76.05479452054794,3,0.9974597595470612,0.2673927522577656
