dataset,min_samples,view,n_seeds,seed_profile_cosine_mean,seed_profile_cosine_min,seed_profile_cosine_std
Synthetic,4,spatial_path,10,0.8776807066224142,0.6041186372581683,0.16113895515997717
Synthetic,4,kinematic,10,0.999916139718451,0.9998432172466407,3.704770416910241e-05
Synthetic,4,trajectory_shape,10,0.9851533247932718,0.9550544750482327,0.010722160903585973
Synthetic,8,spatial_path,10,0.8227900273662273,0.6303248669908271,0.16169249620004547
Synthetic,8,kinematic,10,0.9999166725731498,0.9998382569135007,3.401806652614007e-05
Synthetic,8,trajectory_shape,10,0.9829956903501766,0.9526512648330224,0.012207765038585724
Synthetic,16,spatial_path,10,0.8260156882351036,0.6466845785621159,0.15032020773466417
Synthetic,16,kinematic,10,0.9998953734071582,0.9998161385210149,4.011437112958874e-05
Synthetic,16,trajectory_shape,10,0.9855698333113472,0.9449624274139652,0.010379876182066254
Synthetic,32,spatial_path,10,0.8324774282305301,0.6504130001736088,0.1441216621647047
Synthetic,32,kinematic,10,0.9997783636263037,0.9995790790372419,9.796044670401181e-05
Synthetic,32,trajectory_shape,10,0.9785944852053571,0.9029938779106232,0.01800088928743184
Grid-Network,4,spatial_path,10,0.997944043498003,0.9947452370818773,0.0011428901748781542
Grid-Network,4,kinematic,10,0.9969722198686428,0.9845038680411965,0.005168142434757788
Grid-Network,4,trajectory_shape,10,0.9873734815120432,0.9730033878094021,0.005149363120458735
Grid-Network,8,spatial_path,10,0.9977718367620639,0.9953716610672021,0.00108210691407347
Grid-Network,8,kinematic,10,0.9973676408905624,0.9866284424634584,0.00430097541827351
Grid-Network,8,trajectory_shape,10,0.9860068557714408,0.9741185356533948,0.005683491829764861
Grid-Network,16,spatial_path,10,0.9974293930386195,0.9936064946458656,0.0013891080503306292
Grid-Network,16,kinematic,10,0.9975428671282477,0.9891633226989851,0.002958390629340656
Grid-Network,16,trajectory_shape,10,0.9855531782096801,0.9687856496581925,0.006460654375851542
Grid-Network,32,spatial_path,10,0.9959465213299803,0.9913688622634982,0.0023899547566623098
Grid-Network,32,kinematic,10,0.9974811295198515,0.9879192188143745,0.0028691795355454317
Grid-Network,32,trajectory_shape,10,0.9841270958578311,0.968014298800178,0.006897578252445511
Porto-derived,4,spatial_path,5,0.8790918662879266,0.6928093906108297,0.15012878155510945
Porto-derived,4,kinematic,5,0.9980223887522716,0.994571441834735,0.002206051682994288
Porto-derived,4,trajectory_shape,5,0.9276543007194835,0.8811307603652635,0.025633347799367198
Porto-derived,8,spatial_path,5,0.8194810008371046,0.6821880916136069,0.15009995718595084
Porto-derived,8,kinematic,5,0.9981785063647426,0.994573190590142,0.0017762561031396768
Porto-derived,8,trajectory_shape,5,0.9190439837649999,0.8672990671197505,0.027446639474756805
Porto-derived,16,spatial_path,5,0.8111406516597777,0.675197094260845,0.15467253614669677
Porto-derived,16,kinematic,5,0.9978802493821345,0.994103842969184,0.0023563427059876004
Porto-derived,16,trajectory_shape,5,0.9024642707477233,0.8753073731818443,0.016175704540654142
Porto-derived,32,spatial_path,5,0.8207091278239662,0.692545258953431,0.14634062612300153
Porto-derived,32,kinematic,5,0.9983697680362548,0.9961815107383604,0.0011837759303295955
Porto-derived,32,trajectory_shape,5,0.932941777020812,0.9120595078109924,0.01710219389261034
GeoLife,4,spatial_path,5,0.9225680007504282,0.7734163334121914,0.08484133451302882
GeoLife,4,kinematic,5,0.7711532928265121,0.6109986649732135,0.19675466559637889
GeoLife,4,trajectory_shape,5,0.9472799700575806,0.868990550258906,0.056928757119591326
GeoLife,8,spatial_path,5,0.9245071247905992,0.781104012891434,0.08264970106800545
GeoLife,8,kinematic,5,0.7713704287655692,0.606922541745686,0.19633993028724453
GeoLife,8,trajectory_shape,5,0.9656791624406486,0.9221359465198117,0.024154992217665965
GeoLife,16,spatial_path,5,0.9330723392519115,0.8528493999544686,0.06034006878278025
GeoLife,16,kinematic,5,0.7770959220674667,0.6194638876429437,0.1913761789110021
GeoLife,16,trajectory_shape,5,0.9702162597645844,0.930590905686281,0.019323554819416798
GeoLife,32,spatial_path,5,0.9487154998234979,0.8808570075294145,0.046176427101163736
GeoLife,32,kinematic,5,0.7896146133915101,0.6427192386133901,0.18051228905961597
GeoLife,32,trajectory_shape,5,0.9742580486175034,0.9422047958313976,0.01648436446336832
