analysis,variant,dataset,seed,AUC,AUPRC,F1,Precision,Recall,Runtime
component,g0_l0_f0,Synthetic,42,0.9200561594202898,0.8430204014787371,0.7880434782608695,0.7880434782608695,0.7880434782608695,9.494583799969405
component,g0_l0_f1,Synthetic,42,0.869304347826087,0.6373580707603546,0.6105072463768116,0.6105072463768116,0.6105072463768116,16.405666500038933
component,g0_l1_f0,Synthetic,42,0.9120952898550724,0.8144461129579738,0.7626811594202898,0.7626811594202898,0.7626811594202898,10.998429600032978
component,g0_l1_f1,Synthetic,42,0.8489405797101449,0.5155518254432526,0.5579710144927537,0.5579710144927537,0.5579710144927537,16.737535500025842
component,g1_l0_f0,Synthetic,42,0.9192409420289854,0.8463351226116177,0.7989130434782609,0.7989130434782609,0.7989130434782609,6.283366599993315
component,g1_l0_f1,Synthetic,42,0.861583695652174,0.5978060808906925,0.5742753623188406,0.5742753623188406,0.5742753623188406,5.444377500039991
component,g1_l1_f0,Synthetic,42,0.8977463768115943,0.7459800264218647,0.6920289855072463,0.6920289855072463,0.6920289855072463,7.352466300013475
component,g1_l1_f1,Synthetic,42,0.8935126811594203,0.6605386944712135,0.7101449275362319,0.7101449275362319,0.7101449275362319,6.900775899994187
component,g0_l0_f0,Synthetic,123,0.9194351449275363,0.8391694607676935,0.7844202898550725,0.7844202898550725,0.7844202898550725,15.243227699946146
component,g0_l0_f1,Synthetic,123,0.8607532608695652,0.6049569145217818,0.5597826086956522,0.5597826086956522,0.5597826086956522,15.504997099982575
component,g0_l1_f0,Synthetic,123,0.9075905797101449,0.8087658396193305,0.7608695652173914,0.7608695652173914,0.7608695652173914,15.425757499993779
component,g0_l1_f1,Synthetic,123,0.8484039855072464,0.5369658459340805,0.5416666666666666,0.5416666666666666,0.5416666666666666,17.737443100020755
component,g1_l0_f0,Synthetic,123,0.9203786231884057,0.8400147656589247,0.7916666666666666,0.7916666666666666,0.7916666666666666,5.991391399991699
component,g1_l0_f1,Synthetic,123,0.8621887681159419,0.6104256924771283,0.5815217391304348,0.5815217391304348,0.5815217391304348,5.457983699976467
component,g1_l1_f0,Synthetic,123,0.9044894927536231,0.7514762801913514,0.6847826086956522,0.6847826086956522,0.6847826086956522,9.43802709999727
component,g1_l1_f1,Synthetic,123,0.9005036231884059,0.6923208651762234,0.6811594202898551,0.6811594202898551,0.6811594202898551,8.825573900016025
component,g0_l0_f0,Synthetic,456,0.9209409420289854,0.835343138053452,0.7789855072463768,0.7789855072463768,0.7789855072463768,18.527995700016618
component,g0_l0_f1,Synthetic,456,0.8561807971014491,0.6164713707383852,0.6068840579710145,0.6068840579710145,0.6068840579710145,16.621005599969067
component,g0_l1_f0,Synthetic,456,0.9055355072463769,0.7922350479184873,0.7355072463768116,0.7355072463768116,0.7355072463768116,17.209010799997486
component,g0_l1_f1,Synthetic,456,0.8486572463768115,0.5600612302678102,0.5434782608695652,0.5434782608695652,0.5434782608695652,23.373448300000746
component,g1_l0_f0,Synthetic,456,0.9222778985507247,0.8408433389636997,0.782608695652174,0.782608695652174,0.782608695652174,4.169880100002047
component,g1_l0_f1,Synthetic,456,0.8549724637681161,0.6088481404382627,0.5905797101449275,0.5905797101449275,0.5905797101449275,4.057910800038371
component,g1_l1_f0,Synthetic,456,0.9076286231884058,0.8041255063005593,0.7463768115942029,0.7463768115942029,0.7463768115942029,5.924422600015532
component,g1_l1_f1,Synthetic,456,0.85049384057971,0.5878899534559607,0.5851449275362319,0.5851449275362319,0.5851449275362319,5.5025581999798305
component,g0_l0_f0,Synthetic,789,0.9180105072463769,0.8431719579217577,0.7880434782608695,0.7880434782608695,0.7880434782608695,16.43481999996584
component,g0_l0_f1,Synthetic,789,0.859378260869565,0.5721876619086845,0.5561594202898551,0.5561594202898551,0.5561594202898551,19.95702039997559
component,g0_l1_f0,Synthetic,789,0.9061228260869565,0.8085778249080255,0.7427536231884058,0.7427536231884058,0.7427536231884058,18.26351890002843
component,g0_l1_f1,Synthetic,789,0.8441891304347827,0.5133331017981754,0.5543478260869565,0.5543478260869565,0.5543478260869565,19.82409969996661
component,g1_l0_f0,Synthetic,789,0.9175315217391307,0.8411971840239277,0.7844202898550725,0.7844202898550725,0.7844202898550725,5.397451500000898
component,g1_l0_f1,Synthetic,789,0.846016304347826,0.5591670606639108,0.5507246376811594,0.5507246376811594,0.5507246376811594,4.456850100017618
component,g1_l1_f0,Synthetic,789,0.9107416666666667,0.8300474435202249,0.7626811594202898,0.7626811594202898,0.7626811594202898,4.360139700002037
component,g1_l1_f1,Synthetic,789,0.8430202898550725,0.5773276534639511,0.5597826086956522,0.5597826086956522,0.5597826086956522,4.86127450002823
component,g0_l0_f0,Synthetic,1024,0.9025949275362318,0.8128421238404481,0.7572463768115942,0.7572463768115942,0.7572463768115942,21.087739500042517
component,g0_l0_f1,Synthetic,1024,0.8462369565217391,0.5673957138252639,0.5507246376811594,0.5507246376811594,0.5507246376811594,21.325745500042103
component,g0_l1_f0,Synthetic,1024,0.8900894927536233,0.7656244333262371,0.6992753623188406,0.6992753623188406,0.6992753623188406,21.2800613999716
component,g0_l1_f1,Synthetic,1024,0.8701880434782608,0.5684279670777143,0.6503623188405797,0.6503623188405797,0.6503623188405797,20.735075099975802
component,g1_l0_f0,Synthetic,1024,0.9040851449275362,0.8257539799227861,0.7735507246376812,0.7735507246376812,0.7735507246376812,3.702832499984652
component,g1_l0_f1,Synthetic,1024,0.841629347826087,0.547582331672022,0.552536231884058,0.552536231884058,0.552536231884058,3.44878240005346
component,g1_l1_f0,Synthetic,1024,0.9006358695652175,0.799443583783114,0.7463768115942029,0.7463768115942029,0.7463768115942029,5.729505700001027
component,g1_l1_f1,Synthetic,1024,0.8352434782608696,0.5455404902461616,0.5416666666666666,0.5416666666666666,0.5416666666666666,5.101505899976473
component,g0_l0_f0,Synthetic,2048,0.9331898550724637,0.846167347212863,0.7753623188405797,0.7753623188405797,0.7753623188405797,15.50232650001999
component,g0_l0_f1,Synthetic,2048,0.8849507246376811,0.6329430463600701,0.5978260869565217,0.5978260869565217,0.5978260869565217,20.224883800023235
component,g0_l1_f0,Synthetic,2048,0.9254974637681159,0.8079720556511453,0.7409420289855072,0.7409420289855072,0.7409420289855072,19.160069199977443
component,g0_l1_f1,Synthetic,2048,0.8588579710144927,0.4906924450661982,0.5398550724637681,0.5398550724637681,0.5398550724637681,20.04226870002458
component,g1_l0_f0,Synthetic,2048,0.9342952898550725,0.8582422697133162,0.7898550724637681,0.7898550724637681,0.7898550724637681,5.7899210000177845
component,g1_l0_f1,Synthetic,2048,0.879079347826087,0.6256006612524939,0.5869565217391305,0.5869565217391305,0.5869565217391305,6.623577999998815
component,g1_l1_f0,Synthetic,2048,0.9156471014492754,0.7651099799811184,0.7047101449275363,0.7047101449275363,0.7047101449275363,5.93779659998836
component,g1_l1_f1,Synthetic,2048,0.9116307971014492,0.7354149765212715,0.7101449275362319,0.7101449275362319,0.7101449275362319,5.833674900000915
component,g0_l0_f0,Synthetic,3072,0.9238594202898551,0.8602816475994695,0.7989130434782609,0.7989130434782609,0.7989130434782609,19.683846600004472
component,g0_l0_f1,Synthetic,3072,0.8715989130434783,0.6071494450673004,0.5869565217391305,0.5869565217391305,0.5869565217391305,17.65316069999244
component,g0_l1_f0,Synthetic,3072,0.9147481884057972,0.8083196895401051,0.7336956521739131,0.7336956521739131,0.7336956521739131,22.353851000021677
component,g0_l1_f1,Synthetic,3072,0.8339630434782609,0.4998544456451048,0.49094202898550726,0.49094202898550726,0.49094202898550726,17.141732699994463
component,g1_l0_f0,Synthetic,3072,0.9271655797101449,0.8605052399701633,0.8061594202898551,0.8061594202898551,0.8061594202898551,4.07960469997488
component,g1_l0_f1,Synthetic,3072,0.8558554347826086,0.566200704671667,0.5561594202898551,0.5561594202898551,0.5561594202898551,3.566217300016433
component,g1_l1_f0,Synthetic,3072,0.9177768115942029,0.8309087323980698,0.769927536231884,0.769927536231884,0.769927536231884,6.153462500020396
component,g1_l1_f1,Synthetic,3072,0.8556811594202899,0.5665792869524776,0.5561594202898551,0.5561594202898551,0.5561594202898551,4.500000200001523
component,g0_l0_f0,Synthetic,4096,0.928275,0.8487614895079965,0.7771739130434783,0.7771739130434783,0.7771739130434783,23.30734030000167
component,g0_l0_f1,Synthetic,4096,0.8723373188405797,0.5726033743334068,0.5380434782608695,0.5380434782608695,0.5380434782608695,23.921563000010792
component,g0_l1_f0,Synthetic,4096,0.9047713768115943,0.8175352719043095,0.7590579710144928,0.7590579710144928,0.7590579710144928,24.65733940002974
component,g0_l1_f1,Synthetic,4096,0.8575427536231884,0.4932653957296468,0.5217391304347826,0.5217391304347826,0.5217391304347826,24.763287400011905
component,g1_l0_f0,Synthetic,4096,0.9279735507246377,0.8501564305698401,0.7862318840579711,0.7862318840579711,0.7862318840579711,4.058500599989202
component,g1_l0_f1,Synthetic,4096,0.8644840579710145,0.5741976817689364,0.5416666666666666,0.5416666666666666,0.5416666666666666,4.06631019996712
component,g1_l1_f0,Synthetic,4096,0.9083605072463768,0.8261957574139964,0.769927536231884,0.769927536231884,0.769927536231884,5.876983499969356
component,g1_l1_f1,Synthetic,4096,0.8621880434782608,0.5813370564590956,0.5561594202898551,0.5561594202898551,0.5561594202898551,4.349871799990069
component,g0_l0_f0,Synthetic,5120,0.9233141304347827,0.8466389943863716,0.7898550724637681,0.7898550724637681,0.7898550724637681,25.011138800007757
component,g0_l0_f1,Synthetic,5120,0.8540583333333334,0.6024220933538017,0.5507246376811594,0.5507246376811594,0.5507246376811594,19.668903700017836
component,g0_l1_f0,Synthetic,5120,0.9194822463768116,0.8207905596200649,0.7663043478260869,0.7663043478260869,0.7663043478260869,19.59525690000737
component,g0_l1_f1,Synthetic,5120,0.8424996376811594,0.535709672501877,0.5416666666666666,0.5416666666666666,0.5416666666666666,21.12333790003322
component,g1_l0_f0,Synthetic,5120,0.9204644927536231,0.8539394353999867,0.7952898550724637,0.7952898550724637,0.7952898550724637,5.214473899977747
component,g1_l0_f1,Synthetic,5120,0.8643206521739131,0.6105495232533611,0.5778985507246377,0.5778985507246377,0.5778985507246377,4.774194199999329
component,g1_l1_f0,Synthetic,5120,0.9102300724637683,0.7693910831276534,0.6956521739130435,0.6956521739130435,0.6956521739130435,6.341703800018877
component,g1_l1_f1,Synthetic,5120,0.910216304347826,0.7845748266759368,0.7318840579710145,0.7318840579710145,0.7318840579710145,5.4680155999958515
component,g0_l0_f0,Synthetic,6144,0.9221047101449275,0.8321846431540704,0.7735507246376812,0.7735507246376812,0.7735507246376812,18.208591600006912
component,g0_l0_f1,Synthetic,6144,0.8901804347826087,0.6700330596066978,0.6322463768115942,0.6322463768115942,0.6322463768115942,15.473098399990704
component,g0_l1_f0,Synthetic,6144,0.9115985507246378,0.8033276573065146,0.7481884057971014,0.7481884057971014,0.7481884057971014,17.48624589998508
