dataset,method,seed,n_samples,data_preparation_seconds,model_setup_seconds,pretraining_seconds,training_seconds,validation_seconds,training_validation_seconds,optimization_seconds,checkpoint_restore_seconds,scoring_seconds,fit_score_seconds,end_to_end_seconds,epochs,pretrain_epochs,parameter_count,peak_gpu_memory_bytes,score_match_main,max_abs_score_difference,metric_match_main
Synthetic,LSTM-AE,42,5552,1.489302892703563,,,20.650468855630606,,,20.650468855630606,,0.028649205341935158,22.16842487687245,22.346154663246125,80,,119506,1295507968,True,0.0,True
Synthetic,USAD,42,5552,1.5940861287526786,,,27.719194994308054,,,27.719194994308054,,0.006264168303459883,29.319552616681904,29.560789838898927,80,,25828,77991936,True,0.0,True
Synthetic,LM-TAD,42,5552,2.5003238497301936,,,571.1835655933246,16.365872516762465,589.2399727581069,589.2399727581069,0.13961647218093276,0.9530916959047318,592.8334618480876,592.9620558200404,50,,56913408,1249036288,True,0.0,True
Synthetic,MST-OATD,42,5552,0.8189463610760868,1.357717932201922,10.423120385967195,20.07778155989945,,,30.500901945866644,0.05498072598129511,3.354865552857518,36.11828115489334,36.4641803689301,10,8,11840659,6965044224,True,0.0,True
Grid-Network,LSTM-AE,42,5552,1.6794006540440023,,,12.086051867809147,,,12.086051867809147,,0.030028628651052713,13.795484453905374,14.017216289881617,54,,208290,2488819712,True,0.0,True
Grid-Network,USAD,42,5552,1.41445086710155,,,28.985817531123757,,,28.985817531123757,,0.006453735753893852,30.406726127956063,30.567876601126045,80,,25828,77991936,True,0.0,True
Grid-Network,LM-TAD,42,5552,2.3256268543191254,,,856.6556258932687,19.83841892145574,879.8266449291259,879.8266449291259,0.06524395942687988,0.8808211931027472,883.0990539132617,883.2322831768543,50,,56913408,1249036288,True,0.0,True
Grid-Network,MST-OATD,42,5552,1.0634681470692158,1.2756848759017885,10.293573113624007,19.343627688940614,,,29.63720080256462,0.05484549002721906,3.4064453057944775,35.466331193223596,35.645554293412715,10,8,11840659,6965044224,True,0.0,True
Porto-derived,LSTM-AE,42,5552,1.5938212270848453,,,15.150341229047626,,,15.150341229047626,,0.030367424245923758,16.774535791948438,17.033910993952304,62,,52946,1283288064,True,0.0,True
Porto-derived,USAD,42,5552,1.4301965022459626,,,28.9083594949916,,,28.9083594949916,,0.007218667306005955,30.345779520925134,30.64709571423009,80,,25828,77991936,True,0.0,True
Porto-derived,LM-TAD,42,5552,2.886977741960436,,,883.8808595244773,19.841900488827378,905.743603693787,905.743603693787,0.13566588796675205,0.881225653924048,909.6479367236607,909.858022921253,50,,56913408,1249036288,True,0.0,True
Porto-derived,MST-OATD,42,5552,0.8519520941190422,1.4274756363593042,10.782695238944143,19.939256452023983,,,30.721951690968126,0.05497416201978922,3.568271692376584,36.65511766402051,36.82403288688511,10,8,11840659,6965044224,True,0.0,True
GeoLife,LSTM-AE,42,3332,1.3463686532340944,,,10.793977763038129,,,10.793977763038129,,0.030722492840141058,12.171083787921816,12.340603985823691,72,,208290,1526082048,True,0.0,True
GeoLife,USAD,42,3332,1.361400576774031,,,17.781021205242723,,,17.781021205242723,,0.006664766930043697,19.149094693828374,19.432069622911513,80,,25828,73879552,True,0.0,True
GeoLife,LM-TAD,42,3332,2.5486832596361637,,,510.35555504169315,12.908936345484108,526.0848503778689,526.0848503778689,0.13783471891656518,0.5783131578937173,529.350236244034,529.4786273501813,50,,56913408,1250551296,True,0.0,True
GeoLife,MST-OATD,42,3332,0.6279056225903332,1.4647421347908676,7.593892693985254,14.312332950998098,,,21.90622564498335,0.05906743882223964,2.3509321911260486,26.431164108682424,26.59204081306234,10,8,11840659,6965044224,True,0.0,True
