dataset,method,seed,n_samples,end_to_end_seconds,fit_score_seconds,timing_scope,epochs,pretrain_epochs,parameter_count,peak_gpu_memory_bytes,device
Synthetic,LSTM-AE,42,5552,24.423342420719564,24.423342420719564,fit_score_plus_job_io; pure training and scoring are not separated,80,,119506,1295507968,cuda:0
Synthetic,LSTM-AE,123,5552,24.119527101051062,24.119527101051062,fit_score_plus_job_io; pure training and scoring are not separated,80,,119506,1295507968,cuda:0
Synthetic,LSTM-AE,456,5552,24.298703622072935,24.298703622072935,fit_score_plus_job_io; pure training and scoring are not separated,79,,119506,1295507968,cuda:0
Synthetic,LSTM-AE,789,5552,20.943272326141596,20.943272326141596,fit_score_plus_job_io; pure training and scoring are not separated,79,,119506,1295507968,cuda:0
Synthetic,LSTM-AE,1024,5552,20.32109761610627,20.32109761610627,fit_score_plus_job_io; pure training and scoring are not separated,71,,119506,1295507968,cuda:0
Synthetic,LSTM-AE,2048,5552,22.30601337272674,22.30601337272674,fit_score_plus_job_io; pure training and scoring are not separated,73,,119506,1295507968,cuda:0
Synthetic,LSTM-AE,3072,5552,22.54031912982464,22.54031912982464,fit_score_plus_job_io; pure training and scoring are not separated,77,,119506,1295507968,cuda:0
Synthetic,LSTM-AE,4096,5552,21.713130875024945,21.713130875024945,fit_score_plus_job_io; pure training and scoring are not separated,74,,119506,1295507968,cuda:0
Synthetic,LSTM-AE,5120,5552,18.611179638188332,18.611179638188332,fit_score_plus_job_io; pure training and scoring are not separated,68,,119506,1295507968,cuda:0
Synthetic,LSTM-AE,6144,5552,21.112466941121966,21.112466941121966,fit_score_plus_job_io; pure training and scoring are not separated,74,,119506,1295507968,cuda:0
Synthetic,USAD,42,5552,32.75553788198158,32.75553788198158,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:1
Synthetic,USAD,123,5552,33.825027155689895,33.825027155689895,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:1
Synthetic,USAD,456,5552,31.373707613907754,31.373707613907754,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:1
Synthetic,USAD,789,5552,30.963202673010528,30.963202673010528,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:1
Synthetic,USAD,1024,5552,31.29214237909764,31.29214237909764,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:1
Synthetic,USAD,2048,5552,30.69179980829358,30.69179980829358,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:1
Synthetic,USAD,3072,5552,31.649680853821337,31.649680853821337,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:1
Synthetic,USAD,4096,5552,31.850738497450948,31.850738497450948,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:1
Synthetic,USAD,5120,5552,31.62015453679487,31.62015453679487,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:1
Synthetic,USAD,6144,5552,30.380828589666635,30.380828589666635,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:1
Synthetic,LM-TAD,42,5552,726.9788738582283,719.2568196221255,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Synthetic,LM-TAD,123,5552,609.9401679448783,602.8906369348988,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Synthetic,LM-TAD,456,5552,674.161600205116,665.2232400891371,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Synthetic,LM-TAD,789,5552,640.9866052228026,634.7707440382801,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Synthetic,LM-TAD,1024,5552,859.6641097511165,850.4751673690043,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Synthetic,LM-TAD,2048,5552,772.1105397739448,763.7665786459111,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Synthetic,LM-TAD,3072,5552,763.1650737030432,754.2196283899248,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Synthetic,LM-TAD,4096,5552,889.8054898260161,880.7014153208584,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Synthetic,LM-TAD,5120,5552,803.1852880050428,800.9961228808388,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Synthetic,LM-TAD,6144,5552,767.5399548388086,764.9204923380166,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Synthetic,MST-OATD,42,5552,35.34606800787151,34.42933382187039,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Synthetic,MST-OATD,123,5552,35.318585771135986,34.69280700571835,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Synthetic,MST-OATD,456,5552,35.98091440927237,35.33552374318242,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Synthetic,MST-OATD,789,5552,35.362936324905604,34.72499496024102,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Synthetic,MST-OATD,1024,5552,35.25790795404464,34.62580374395475,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Synthetic,MST-OATD,2048,5552,34.729735914152116,33.935072641819715,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Synthetic,MST-OATD,3072,5552,35.24570897500962,34.370679383631796,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Synthetic,MST-OATD,4096,5552,35.09011842869222,34.31960800103843,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Synthetic,MST-OATD,5120,5552,35.06772951502353,34.32854525092989,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Synthetic,MST-OATD,6144,5552,34.58537631109357,33.85154938697815,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Grid-Network,LSTM-AE,42,5552,14.901368553750217,14.901368553750217,fit_score_plus_job_io; pure training and scoring are not separated,54,,208290,0,cuda:2
Grid-Network,LSTM-AE,123,5552,12.425952621269971,12.425952621269971,fit_score_plus_job_io; pure training and scoring are not separated,44,,208290,0,cuda:2
Grid-Network,LSTM-AE,456,5552,11.998386384919286,11.998386384919286,fit_score_plus_job_io; pure training and scoring are not separated,45,,208290,0,cuda:2
Grid-Network,LSTM-AE,789,5552,8.758292497135699,8.758292497135699,fit_score_plus_job_io; pure training and scoring are not separated,28,,208290,0,cuda:2
Grid-Network,LSTM-AE,1024,5552,18.494489938020706,18.494489938020706,fit_score_plus_job_io; pure training and scoring are not separated,67,,208290,0,cuda:2
Grid-Network,LSTM-AE,2048,5552,12.162527911830693,12.162527911830693,fit_score_plus_job_io; pure training and scoring are not separated,39,,208290,0,cuda:2
Grid-Network,LSTM-AE,3072,5552,11.994333697948605,11.994333697948605,fit_score_plus_job_io; pure training and scoring are not separated,45,,208290,0,cuda:2
Grid-Network,LSTM-AE,4096,5552,13.68790425406769,13.68790425406769,fit_score_plus_job_io; pure training and scoring are not separated,56,,208290,0,cuda:2
Grid-Network,LSTM-AE,5120,5552,15.415630460716784,15.415630460716784,fit_score_plus_job_io; pure training and scoring are not separated,53,,208290,0,cuda:2
Grid-Network,LSTM-AE,6144,5552,12.940377270337194,12.940377270337194,fit_score_plus_job_io; pure training and scoring are not separated,46,,208290,0,cuda:2
Grid-Network,USAD,42,5552,31.832860651426017,31.832860651426017,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:3
Grid-Network,USAD,123,5552,31.747713605407625,31.747713605407625,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:3
