dataset,seed,n_samples,fit_seconds,score_seconds,fit_score_seconds,spatial_path_balls,kinematic_balls,trajectory_shape_balls,total_balls,score_exact_match,max_abs_score_difference,labels_consumed_during_fit
Synthetic,42,5552,3.1953624000016134,0.7515544000198133,3.9469168000214268,216,197,86,499,True,0.0,False
Synthetic,123,5552,11.164960000023711,0.8970401000115089,12.06200010003522,225,196,105,526,True,0.0,False
Synthetic,456,5552,8.360692499991274,0.6157549000054132,8.976447399996687,183,189,71,443,True,0.0,False
Synthetic,789,5552,5.549686799990013,1.743810299987672,7.293497099977685,1,194,75,270,True,0.0,False
Synthetic,1024,5552,9.11254979998921,0.46470290000434034,9.57725269999355,1,188,86,275,True,0.0,False
Synthetic,2048,5552,8.925947600015206,0.8845924999914132,9.81054010000662,222,194,91,507,True,0.0,False
Synthetic,3072,5552,8.895870300009847,0.5334421999868937,9.42931249999674,1,196,85,282,True,0.0,False
Synthetic,4096,5552,6.278977499983739,1.3511186999967322,7.630096199980471,1,194,98,293,True,0.0,False
Synthetic,5120,5552,6.711469400004717,0.78889260001597,7.5003620000206865,207,189,44,440,True,0.0,False
Synthetic,6144,5552,3.3206492999743205,0.7802641000016592,4.10091339997598,222,190,79,491,True,0.0,False
Grid-Network,42,5552,2.338975999999093,0.5997312999970745,2.9387072999961674,149,134,57,340,True,0.0,False
Grid-Network,123,5552,2.6707993000163697,0.6766808000102174,3.347480100026587,156,171,53,380,True,0.0,False
Grid-Network,456,5552,2.4051075000024866,0.6171959000057541,3.0223034000082407,133,159,59,351,True,0.0,False
Grid-Network,789,5552,2.3568235999846365,0.6301633999974001,2.9869869999820367,165,167,56,388,True,0.0,False
Grid-Network,1024,5552,2.3201316999911796,0.6273185999889392,2.947450299980119,162,175,54,391,True,0.0,False
Grid-Network,2048,5552,2.449510200007353,0.5894049000053201,3.038915100012673,139,175,45,359,True,0.0,False
Grid-Network,3072,5552,2.2693735000211746,0.5178122000070289,2.7871857000282034,149,153,44,346,True,0.0,False
Grid-Network,4096,5552,2.392422599979909,0.6184838000044692,3.0109063999843784,157,168,44,369,True,0.0,False
Grid-Network,5120,5552,2.5758258999849204,0.7230048000055831,3.2988306999905035,163,167,62,392,True,0.0,False
Grid-Network,6144,5552,2.0893797999888193,0.6568203000060748,2.746200099994894,146,91,53,290,True,0.0,False
Porto-derived,42,5552,1.2267885000037495,0.3558632000058424,1.5826517000095919,1,154,57,212,True,0.0,False
Porto-derived,123,5552,2.4966150000109337,0.48266479998710565,2.9792797999980394,138,176,38,352,True,0.0,False
Porto-derived,456,5552,1.607834599999478,0.49502110001049004,2.102855700009968,1,159,68,228,True,0.0,False
Porto-derived,789,5552,2.410078099987004,0.37583239999366924,2.785910499980673,122,180,74,376,True,0.0,False
Porto-derived,1024,5552,2.009792999975616,0.34952280001016334,2.3593157999857794,142,139,17,298,True,0.0,False
GeoLife,42,3332,0.9525763000128791,0.14539329998660833,1.0979695999994874,87,1,7,95,True,0.0,False
GeoLife,123,3332,1.1049224000016693,0.16622359998291358,1.2711459999845829,91,96,1,188,True,0.0,False
GeoLife,456,3332,0.60247640000307,0.10697129997424781,0.7094476999773178,1,99,4,104,True,0.0,False
GeoLife,789,3332,1.0242598000040743,0.1424105000041891,1.1666703000082634,109,1,59,169,True,0.0,False
GeoLife,1024,3332,0.8494452000013553,0.12978740001562983,0.9792326000169851,65,106,12,183,True,0.0,False
