dataset,method,seed,AUC,AUPRC,F1,Precision,Recall,Runtime
Synthetic,EWGB-TAD,42,0.8935126811594203,0.6605386944712135,0.7101449275362319,0.7101449275362319,0.7101449275362319,6.965995499995188
Synthetic,EWGB-TAD,123,0.9005036231884059,0.6923208651762234,0.6811594202898551,0.6811594202898551,0.6811594202898551,6.959248400002252
Synthetic,EWGB-TAD,456,0.85049384057971,0.5878899534559607,0.5851449275362319,0.5851449275362319,0.5851449275362319,5.7981373999937205
Synthetic,EWGB-TAD,789,0.8430202898550725,0.5773276534639511,0.5597826086956522,0.5597826086956522,0.5597826086956522,4.9557967000000644
Synthetic,EWGB-TAD,1024,0.8352434782608696,0.5455404902461616,0.5416666666666666,0.5416666666666666,0.5416666666666666,5.13730289999512
Synthetic,EWGB-TAD,2048,0.9116307971014492,0.7354149765212715,0.7101449275362319,0.7101449275362319,0.7101449275362319,6.606921999991755
Synthetic,EWGB-TAD,3072,0.8556811594202899,0.5665792869524776,0.5561594202898551,0.5561594202898551,0.5561594202898551,4.431275299997651
Synthetic,EWGB-TAD,4096,0.8621880434782608,0.5813370564590956,0.5561594202898551,0.5561594202898551,0.5561594202898551,5.766925900010392
Synthetic,EWGB-TAD,5120,0.910216304347826,0.7845748266759368,0.7318840579710145,0.7318840579710145,0.7318840579710145,6.002808399993228
Synthetic,EWGB-TAD,6144,0.8674065217391304,0.5729251377075967,0.5652173913043478,0.5652173913043478,0.5652173913043478,6.387420099999872
Synthetic,IForest,42,0.8575474637681159,0.6183742492491069,0.5815217391304348,0.5815217391304348,0.5815217391304348,1.9480787310749292
Synthetic,IForest,123,0.8617826086956522,0.5833215645679622,0.5561594202898551,0.5561594202898551,0.5561594202898551,1.2230372177436948
Synthetic,IForest,456,0.8614264492753623,0.6338300294062396,0.6014492753623188,0.6014492753623188,0.6014492753623188,1.0924097253009677
Synthetic,IForest,789,0.8639945652173913,0.6542165910535694,0.6014492753623188,0.6014492753623188,0.6014492753623188,0.7678916337899864
Synthetic,IForest,1024,0.8492753623188406,0.5897763691740313,0.5615942028985508,0.5615942028985508,0.5615942028985508,1.0843287552706897
Synthetic,IForest,2048,0.8797130434782607,0.6074578193453222,0.5797101449275363,0.5797101449275363,0.5797101449275363,0.7420276207849383
Synthetic,IForest,3072,0.8650746376811594,0.5889123304371697,0.5742753623188406,0.5742753623188406,0.5742753623188406,0.9506502011790872
Synthetic,IForest,4096,0.8680601449275361,0.5994168231332087,0.5688405797101449,0.5688405797101449,0.5688405797101449,0.7689117412082851
Synthetic,IForest,5120,0.860645652173913,0.6162716326222845,0.592391304347826,0.592391304347826,0.592391304347826,1.0375968981534243
Synthetic,IForest,6144,0.8723297101449274,0.6215954247114205,0.6014492753623188,0.6014492753623188,0.6014492753623188,0.7786570871248841
Synthetic,ECOD,42,0.8422492753623188,0.4833050122147502,0.5036231884057971,0.5036231884057971,0.5036231884057971,0.17853430984541774
Synthetic,ECOD,123,0.845506884057971,0.4970581407733336,0.519927536231884,0.519927536231884,0.519927536231884,0.21423307713121176
Synthetic,ECOD,456,0.8428728260869566,0.48326480096283086,0.5181159420289855,0.5181159420289855,0.5181159420289855,0.23415229097008705
Synthetic,ECOD,789,0.8371155797101449,0.4752059198115921,0.5054347826086957,0.5054347826086957,0.5054347826086957,0.10681817308068275
Synthetic,ECOD,1024,0.8309275362318839,0.4756355377912861,0.5018115942028986,0.5018115942028986,0.5018115942028986,0.11510068830102682
Synthetic,ECOD,2048,0.8619134057971015,0.4876228491688207,0.519927536231884,0.519927536231884,0.519927536231884,0.1698437910526991
Synthetic,ECOD,3072,0.8526735507246377,0.4927185386310401,0.5126811594202898,0.5126811594202898,0.5126811594202898,0.10964702721685171
Synthetic,ECOD,4096,0.8444297101449276,0.47835742707012957,0.5,0.5,0.5,0.24400468217208982
Synthetic,ECOD,5120,0.8312315217391303,0.48111281301154807,0.5181159420289855,0.5181159420289855,0.5181159420289855,0.1527432668954134
Synthetic,ECOD,6144,0.8618869565217391,0.5055760572635872,0.5489130434782609,0.5489130434782609,0.5489130434782609,0.11711153294891119
Synthetic,iBoost-ODE,42,0.8389221014492754,0.5287061978263425,0.5271739130434783,0.5271739130434783,0.5271739130434783,3.5044473418965936
Synthetic,iBoost-ODE,123,0.8605561594202897,0.5660546575595199,0.552536231884058,0.552536231884058,0.552536231884058,2.859180845785886
Synthetic,iBoost-ODE,456,0.8538844202898551,0.573634554426082,0.5742753623188406,0.5742753623188406,0.5742753623188406,3.054055903572589
Synthetic,iBoost-ODE,789,0.8485974637681161,0.5123758156425211,0.5271739130434783,0.5271739130434783,0.5271739130434783,3.5497575127519667
Synthetic,iBoost-ODE,1024,0.8597989130434783,0.6049396825703094,0.5778985507246377,0.5778985507246377,0.5778985507246377,3.922773355152458
Synthetic,iBoost-ODE,2048,0.8885465579710145,0.6228391141088838,0.6032608695652174,0.6032608695652174,0.6032608695652174,2.3844961132854223
Synthetic,iBoost-ODE,3072,0.844909963768116,0.4944371236615819,0.5126811594202898,0.5126811594202898,0.5126811594202898,3.386677068658173
Synthetic,iBoost-ODE,4096,0.8400157608695653,0.48649893000950356,0.4963768115942029,0.4963768115942029,0.4963768115942029,3.355865911114961
Synthetic,iBoost-ODE,5120,0.8142733695652173,0.4458288792311935,0.48188405797101447,0.48188405797101447,0.48188405797101447,3.305011759046465
Synthetic,iBoost-ODE,6144,0.8603003623188406,0.531287059556885,0.5416666666666666,0.5416666666666666,0.5416666666666666,3.163703623227775
Synthetic,CoMadOut,42,0.8463280797101449,0.6016551337966985,0.5797101449275363,0.5797101449275363,0.5797101449275363,0.5567547320388258
Synthetic,CoMadOut,123,0.8467284420289856,0.6705713064246762,0.6014492753623188,0.6014492753623188,0.6014492753623188,0.347145885694772
Synthetic,CoMadOut,456,0.8055916666666667,0.6222938970450012,0.5561594202898551,0.5561594202898551,0.5561594202898551,0.2967094387859106
Synthetic,CoMadOut,789,0.8140655797101448,0.6430740838418637,0.5815217391304348,0.5815217391304348,0.5815217391304348,0.17365717189386487
Synthetic,CoMadOut,1024,0.7865148550724639,0.5767125986011222,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.37874580919742584
Synthetic,CoMadOut,2048,0.7581990942028985,0.5435258392640618,0.4927536231884058,0.4927536231884058,0.4927536231884058,0.21848088782280684
Synthetic,CoMadOut,3072,0.8573873188405796,0.6831950673035894,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.4208451109007001
Synthetic,CoMadOut,4096,0.8059592391304347,0.6125139656726458,0.5507246376811594,0.5507246376811594,0.5507246376811594,0.2840471533127129
Synthetic,CoMadOut,5120,0.8342561594202899,0.39870959021445374,0.48007246376811596,0.48007246376811596,0.48007246376811596,0.18923265067860484
Synthetic,CoMadOut,6144,0.7778318840579711,0.2082328507626808,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.34149356512352824
Synthetic,Shape-KNN,42,0.9296264492753623,0.7758222474201528,0.7246376811594203,0.7246376811594203,0.7246376811594203,39.9278115183115
Synthetic,Shape-KNN,123,0.9330641304347828,0.7746152243804644,0.717391304347826,0.717391304347826,0.717391304347826,35.05803020624444
Synthetic,Shape-KNN,456,0.9226766304347827,0.762072480156331,0.7137681159420289,0.7137681159420289,0.7137681159420289,41.62341386359185
Synthetic,Shape-KNN,789,0.9209215579710144,0.7436109384463294,0.7010869565217391,0.7010869565217391,0.7010869565217391,45.10164794418961
Synthetic,Shape-KNN,1024,0.9312961956521739,0.7702659014534761,0.7083333333333334,0.7083333333333334,0.7083333333333334,43.628356497269124
Synthetic,Shape-KNN,2048,0.9309735507246376,0.7575442848766966,0.7155797101449275,0.7155797101449275,0.7155797101449275,47.41142891300842
Synthetic,Shape-KNN,3072,0.9452289855072464,0.7923647713017862,0.7264492753623188,0.7264492753623188,0.7264492753623188,35.56446947203949
