dataset,method,seed,n_samples,end_to_end_seconds,fit_score_seconds,timing_scope,epochs,pretrain_epochs,parameter_count,peak_gpu_memory_bytes,device
Synthetic,EWGB-TAD,42,5552,6.965995499995188,,end_to_end_job,,,,,cpu
Synthetic,EWGB-TAD,123,5552,6.959248400002252,,end_to_end_job,,,,,cpu
Synthetic,EWGB-TAD,456,5552,5.7981373999937205,,end_to_end_job,,,,,cpu
Synthetic,EWGB-TAD,789,5552,4.9557967000000644,,end_to_end_job,,,,,cpu
Synthetic,EWGB-TAD,1024,5552,5.13730289999512,,end_to_end_job,,,,,cpu
Synthetic,EWGB-TAD,2048,5552,6.606921999991755,,end_to_end_job,,,,,cpu
Synthetic,EWGB-TAD,3072,5552,4.431275299997651,,end_to_end_job,,,,,cpu
Synthetic,EWGB-TAD,4096,5552,5.766925900010392,,end_to_end_job,,,,,cpu
Synthetic,EWGB-TAD,5120,5552,6.002808399993228,,end_to_end_job,,,,,cpu
Synthetic,EWGB-TAD,6144,5552,6.387420099999872,,end_to_end_job,,,,,cpu
Synthetic,IForest,42,5552,1.9480787310749292,,end_to_end_job,,,,,cpu
Synthetic,IForest,123,5552,1.2230372177436948,,end_to_end_job,,,,,cpu
Synthetic,IForest,456,5552,1.0924097253009677,,end_to_end_job,,,,,cpu
Synthetic,IForest,789,5552,0.7678916337899864,,end_to_end_job,,,,,cpu
Synthetic,IForest,1024,5552,1.0843287552706897,,end_to_end_job,,,,,cpu
Synthetic,IForest,2048,5552,0.7420276207849383,,end_to_end_job,,,,,cpu
Synthetic,IForest,3072,5552,0.9506502011790872,,end_to_end_job,,,,,cpu
Synthetic,IForest,4096,5552,0.7689117412082851,,end_to_end_job,,,,,cpu
Synthetic,IForest,5120,5552,1.0375968981534243,,end_to_end_job,,,,,cpu
Synthetic,IForest,6144,5552,0.7786570871248841,,end_to_end_job,,,,,cpu
Synthetic,ECOD,42,5552,0.17853430984541774,,end_to_end_job,,,,,cpu
Synthetic,ECOD,123,5552,0.21423307713121176,,end_to_end_job,,,,,cpu
Synthetic,ECOD,456,5552,0.23415229097008705,,end_to_end_job,,,,,cpu
Synthetic,ECOD,789,5552,0.10681817308068275,,end_to_end_job,,,,,cpu
Synthetic,ECOD,1024,5552,0.11510068830102682,,end_to_end_job,,,,,cpu
Synthetic,ECOD,2048,5552,0.1698437910526991,,end_to_end_job,,,,,cpu
Synthetic,ECOD,3072,5552,0.10964702721685171,,end_to_end_job,,,,,cpu
Synthetic,ECOD,4096,5552,0.24400468217208982,,end_to_end_job,,,,,cpu
Synthetic,ECOD,5120,5552,0.1527432668954134,,end_to_end_job,,,,,cpu
Synthetic,ECOD,6144,5552,0.11711153294891119,,end_to_end_job,,,,,cpu
Synthetic,iBoost-ODE,42,5552,3.5044473418965936,,end_to_end_job,,,,,cpu
Synthetic,iBoost-ODE,123,5552,2.859180845785886,,end_to_end_job,,,,,cpu
Synthetic,iBoost-ODE,456,5552,3.054055903572589,,end_to_end_job,,,,,cpu
Synthetic,iBoost-ODE,789,5552,3.5497575127519667,,end_to_end_job,,,,,cpu
Synthetic,iBoost-ODE,1024,5552,3.922773355152458,,end_to_end_job,,,,,cpu
Synthetic,iBoost-ODE,2048,5552,2.3844961132854223,,end_to_end_job,,,,,cpu
Synthetic,iBoost-ODE,3072,5552,3.386677068658173,,end_to_end_job,,,,,cpu
Synthetic,iBoost-ODE,4096,5552,3.355865911114961,,end_to_end_job,,,,,cpu
Synthetic,iBoost-ODE,5120,5552,3.305011759046465,,end_to_end_job,,,,,cpu
Synthetic,iBoost-ODE,6144,5552,3.163703623227775,,end_to_end_job,,,,,cpu
Synthetic,CoMadOut,42,5552,0.5567547320388258,,end_to_end_job,,,,,cpu
Synthetic,CoMadOut,123,5552,0.347145885694772,,end_to_end_job,,,,,cpu
Synthetic,CoMadOut,456,5552,0.2967094387859106,,end_to_end_job,,,,,cpu
Synthetic,CoMadOut,789,5552,0.17365717189386487,,end_to_end_job,,,,,cpu
Synthetic,CoMadOut,1024,5552,0.37874580919742584,,end_to_end_job,,,,,cpu
Synthetic,CoMadOut,2048,5552,0.21848088782280684,,end_to_end_job,,,,,cpu
Synthetic,CoMadOut,3072,5552,0.4208451109007001,,end_to_end_job,,,,,cpu
Synthetic,CoMadOut,4096,5552,0.2840471533127129,,end_to_end_job,,,,,cpu
